time,P77_ZIT_1244001C,P77_ZIT_1244001D,P77_ZIT_1244002C,P77_ZIT_1244002D,P77_PIT_1244007C,P77_PIT_1244008C,P77_PIT_1244007D,P77_PIT_1244008D,P77_SDY_1210002C,P77_SDY_1210002D
15-nov-22 01:38:00,0,0,8.162500381,20.36874962,29776.68164,29875.89063,40655.00781,40625.23438,On,On
15-nov-22 01:39:00,0,0,8.162500381,20.37811089,29796.90039,29901.68945,41076.53906,41046.03516,On,On
15-nov-22 01:40:00,0,0,8.162500381,20.36874962,29772.07227,29875.91016,40735.64844,40629.58984,On,On
15-nov-22 01:41:00,0,0,8.162500381,20.37190056,29787.78711,29891.02539,40886.92969,40827.02344,On,On
15-nov-22 01:42:00,0,0,8.162500381,20.36874962,29758.22656,29873.93359,40587.02734,40441.57813,On,On
15-nov-22 01:43:00,0,0,8.162500381,20.375,29766.30273,29890.94141,40625.98828,40642.33203,On,On
15-nov-22 01:44:00,0,0,8.162500381,20.375,29785.26953,29897.32422,41001.85156,41011.46094,On,On
15-nov-22 01:45:00,0,0,8.162500381,20.36874962,29758.70898,29867.40234,40630,40588.78906,On,On
15-nov-22 01:46:00,0,0,8.162500381,20.36874962,29779.69531,29877.99414,40788.71094,40730.41016,On,On
15-nov-22 01:47:00,0,0,8.162500381,20.36874962,29782.43555,29886.70117,40818.8125,40724.40625,On,On
15-nov-22 01:48:00,0,0,8.159394264,20.37185669,29777.15039,29880.19922,40774.21094,40747.42578,On,On
15-nov-22 01:49:00,0,0,8.162500381,20.375,29784.47461,29884.5,41044.51172,41009.69922,On,On
15-nov-22 01:50:00,0,0,8.162500381,20.36874962,29761.24414,29863.04297,40552.20703,40502.99219,On,On
15-nov-22 01:51:00,0,0,8.159384727,20.375,29775.07813,29865.15039,40720.50781,40728.19922,On,On
15-nov-22 01:52:00,0,0,8.162500381,20.37188911,29772.85938,29863.06055,40934.61719,40649.20313,On,On
15-nov-22 01:53:00,0,0,8.162500381,20.3718586,29749.63867,29863.0293,40613.92188,40578.11328,On,On
15-nov-22 01:54:00,0,0,8.162500381,20.37184525,29767.82031,29875.94336,40898.64844,40953.14063,On,On
15-nov-22 01:55:00,0,0,8.162500381,20.36874962,29761.74023,29860.83789,40841.86719,40670.70313,On,On
15-nov-22 01:56:00,0,0,8.162500381,20.37189484,29760.62891,29871.60938,40966.29688,40962.19922,On,On
15-nov-22 01:57:00,0,0,8.162500381,20.36249924,29753.74414,29841.72656,40810.94922,40420.0625,On,On
15-nov-22 01:58:00,0,0,8.159352303,20.37185287,29742.80078,29850.15039,40629.90234,40607.90234,On,On
15-nov-22 01:59:00,0,0,8.162500381,20.37185478,29766.1582,29865.18945,41045.83594,41090.84375,On,On
15-nov-22 02:00:00,0,0,8.159399986,20.36874962,29737.35156,29845.88867,40774.75781,40676.78906,On,On
15-nov-22 02:01:00,0,0,8.162500381,20.36874962,29770.31055,29880.16992,41016.5,41043.64453,On,On
15-nov-22 02:02:00,0,0,8.162500381,20.36249924,29739.44922,29833.13867,40687.03906,40582.51953,On,On
15-nov-22 02:03:00,0,0,8.162500381,20.36874962,29740.57422,29856.58203,40669.60938,40683.23438,On,On
15-nov-22 02:04:00,0,0,8.162500381,20.375,29752.66016,29869.46094,41076.19531,41056.89453,On,On
15-nov-22 02:05:00,0,0,8.162500381,20.37187386,29730.70703,29847.99609,40769.9375,40734.78906,On,On
15-nov-22 02:06:00,0,0,8.162500381,20.375,29758.2168,29860.875,41171.10156,41097.625,On,On
15-nov-22 02:07:00,0,0,8.162500381,20.36874962,29734.21094,29847.98828,40940.89844,40889.33594,On,On
15-nov-22 02:08:00,0,0,8.162500381,20.375,29755.67969,29858.74609,41095.48047,41050.42578,On,On
15-nov-22 02:09:00,0,0,8.162500381,20.37187386,29721.33008,29832.9707,40833.55859,40754.11328,On,On
15-nov-22 02:10:00,0,0,8.162500381,20.375,29742.80078,29856.58398,40949.48828,40949.48047,On,On
15-nov-22 02:11:00,0,0,8.162500381,20.37188148,29764.26953,29871.63086,41438.98047,41312.42578,On,On
15-nov-22 02:12:00,0,0,8.159373283,20.36249924,29740.71484,29856.58008,40852.36719,40870.05078,On,On
15-nov-22 02:13:00,0,0,8.162500381,20.37193298,29768.56055,29869.50586,41195.91797,41226.23047,On,On
15-nov-22 02:14:00,0,0,8.162500381,20.36249924,29751.94336,29845.69336,41021.96094,40915.76563,On,On
15-nov-22 02:15:00,0,0,8.159319878,20.37181854,29750.83008,29871.38672,41095.26563,41151.8125,On,On
15-nov-22 02:16:00,0,0,8.162500381,20.36567879,29753.88672,29856.54688,41183.51953,40963.70703,On,On
15-nov-22 02:17:00,0,0,8.15625,20.36874962,29753.32422,29849.98828,41010.12109,40980.47266,On,On
15-nov-22 02:18:00,0,0,8.15625,20.36249924,29747.77539,29847.77148,40913.89844,40865.35547,On,On
15-nov-22 02:19:00,0,0,8.15625,20.36874962,29764.81641,29882.30859,41439.23047,41322.38281,On,On
15-nov-22 02:20:00,0,0,8.15625,20.37181854,29761.22461,29867.16406,41213.57422,41293.92578,On,On
15-nov-22 02:21:00,0,0,8.15625,20.36249924,29797.25977,29886.51563,42000.54297,41871.44531,On,On
15-nov-22 02:22:00,0,0,8.15625,20.36249924,29790.71094,29893.25195,41995.69922,42006.76172,On,On
15-nov-22 02:23:00,0,0,8.15625,20.36249924,29804.71484,29901.94531,42422.89063,42161.44922,On,On
15-nov-22 02:24:00,0,0,8.15625,20.35625076,29748.42188,29867.45117,41237.25391,41177.05859,On,On
15-nov-22 02:25:00,0,0,8.15625,20.36557961,29785.74023,29893.08008,41748.39844,41804.50391,On,On
15-nov-22 02:26:00,0,0,8.15625,20.36249924,29801.54102,29886.56641,42159.87891,41982.87891,On,On
15-nov-22 02:27:00,0,0,8.15625,20.35941887,29768.66992,29886.55078,41642.02344,41574.02344,On,On
15-nov-22 02:28:00,0,0,8.15625,20.36249924,29783.83203,29886.86133,41985.78906,41973.32813,On,On
15-nov-22 02:29:00,0,0,8.15625,20.35625076,29755.00195,29852.44727,41127.77734,41031.375,On,On
15-nov-22 02:30:00,0,0,8.15625,20.36249924,29759.98047,29869.39063,41348.80859,41348.01172,On,On
15-nov-22 02:31:00,0,0,8.15625,20.36249924,29794.33008,29895.32422,41958.51953,41894.61719,On,On
15-nov-22 02:32:00,0,0,8.15625,20.35625076,29764.26953,29867.32031,41563.5,41514.08594,On,On
15-nov-22 02:33:00,0,0,8.15625,20.35625076,29782.17773,29890.91406,41870.23828,41872.08984,On,On
15-nov-22 02:34:00,0,0,8.15625,20.34685135,29734.21094,29850.21289,41065.42188,41046.35547,On,On
15-nov-22 02:35:00,0,0,8.153165817,20.35308456,29755.86719,29880.08594,41345.78516,41478.71484,On,On
15-nov-22 02:36:00,0,0,8.15625,20.34066391,29796.63867,29890.9082,42137.21094,41986.92969,On,On
15-nov-22 02:37:00,0,0,8.15625,20.33434677,29764.26953,29875.91016,41657.42969,41660.05078,On,On
15-nov-22 02:38:00,0,0,8.15625,20.33749962,29793.60352,29888.83789,41980.02734,41996.87109,On,On
15-nov-22 02:39:00,0,0,8.15625,20.33124924,29750.66602,29860.94727,41243.89453,41070.125,On,On
15-nov-22 02:40:00,0,0,8.15625,20.33124924,29772.85938,29873.74219,41296.02734,41352.70313,On,On
15-nov-22 02:41:00,0,0,8.15625,20.33440971,29806.48633,29908.13477,42247.64063,42220.33984,On,On
15-nov-22 02:42:00,0,0,8.15625,20.3344059,29785.74023,29895.25195,41911.28906,41860.02344,On,On
15-nov-22 02:43:00,0,0,8.15625,20.33124924,29793.07422,29891.00195,42090.74219,42054.62109,On,On
15-nov-22 02:44:00,0,0,8.15625,20.32500076,29750.14258,29858.68945,41429.14844,41190.82422,On,On
15-nov-22 02:45:00,0,0,8.15625,20.32808495,29763.02734,29863.0293,41188.80859,41207.00391,On,On
15-nov-22 02:46:00,0,0,8.15625,20.33124924,29797.36914,29906.05664,42100.55469,42151.33594,On,On
15-nov-22 02:47:00,0,0,8.15625,20.33124924,29780.73828,29886.66211,41940.85938,41808.40625,On,On
15-nov-22 02:48:00,0,0,8.153082848,20.33124924,29785.74023,29890.90625,41924.375,41917.75781,On,On
15-nov-22 02:49:00,0,0,8.15625,20.32500076,29744.05273,29835.13281,41173.09375,40971.30859,On,On
15-nov-22 02:50:00,0,0,8.15625,20.33124924,29771.60742,29878.07227,41269.11719,41277.63672,On,On
15-nov-22 02:51:00,0,0,8.15625,20.33124924,29753.89063,29856.65625,41191.96094,41108.39844,On,On
15-nov-22 02:52:00,0,0,8.15625,20.33124924,29765.51953,29863.06055,41431.55469,41195.27734,On,On
15-nov-22 02:53:00,0,0,8.15625,20.33124924,29763.76563,29854.43945,41091.14063,41109.89844,On,On
15-nov-22 02:54:00,0,0,8.15625,20.33124924,29783.21875,29888.83203,41634.76172,41525.32031,On,On
15-nov-22 02:55:00,0,0,8.15625,20.33124924,29785.74023,29901.60156,41871.33984,41799.69141,On,On
15-nov-22 02:56:00,0,0,8.15625,20.33124924,29754.94336,29865.14258,41049.4375,41082.45313,On,On
15-nov-22 02:57:00,0,0,8.15625,20.33749962,29757.46484,29858.73047,41063.74609,40981.87109,On,On
15-nov-22 02:58:00,0,0,8.15625,20.34060669,29787.51367,29890.9043,41641.98047,41591.29297,On,On
15-nov-22 02:59:00,0,0,8.15625,20.33749962,29757.46094,29856.60352,41076.69141,41082.12891,On,On
15-nov-22 03:00:00,0,0,8.15625,20.33749962,29749.10938,29869.5625,41131.09375,41033,On,On
15-nov-22 03:01:00,0,0,8.15625,20.34059715,29778.92578,29880.27734,41487.51172,41396.98047,On,On
15-nov-22 03:02:00,0,0,8.15625,20.34060287,29759.98047,29886.57422,41490.5,41554.50781,On,On
15-nov-22 03:03:00,0,0,8.15625,20.33749962,29755.67969,29856.60156,41121.23828,41062.99609,On,On
15-nov-22 03:04:00,0,0,8.15625,20.33749962,29769.82422,29878.03711,41350.07031,41246.00781,On,On
15-nov-22 03:05:00,0,0,8.15625,20.34375,29763.76367,29882.33203,41266.65625,41397.55859,On,On
15-nov-22 03:06:00,0,0,8.15625,20.3406086,29739.25195,29858.71094,40822.39844,40876.15234,On,On
15-nov-22 03:07:00,0,0,8.15625,20.34060287,29767.29883,29869.44922,41326.07813,41258.60938,On,On
