,Unnamed: 0,Unnamed: 0.1,time,oil_well,ZIT_1244002,PIT_1244007,PIT_1244008,SDY_1210002
171,171,171,2022-11-21 23:23:44.609481,well injection D,21.03125,,,
172,172,172,2022-11-21 23:23:45.072709,well injection C,8.631250381469727,29085.859375,29188.91015625,False
173,173,173,2022-11-21 23:23:45.072709,well injection D,,32928.76171875,32877.23828125,
174,174,174,2022-11-21 23:23:50.573275,well injection D,21.03125,,,
175,175,175,2022-11-21 23:23:50.892933,well injection C,8.631250381469727,29085.859375,29188.91015625,False
176,176,176,2022-11-21 23:23:50.892933,well injection D,,32928.76171875,32877.23828125,
177,177,177,2022-11-21 23:23:56.520068,well injection D,21.03125,,,
178,178,178,2022-11-21 23:23:57.017882,well injection C,8.631250381469727,29098.740234375,29201.7890625,False
179,179,179,2022-11-21 23:23:57.017882,well injection D,,32937.3515625,32885.828125,
180,180,180,2022-11-21 23:24:02.724875,well injection D,21.03125,,,
181,181,181,2022-11-21 23:24:03.001462,well injection C,8.631250381469727,29094.44921875,29188.91015625,False
182,182,182,2022-11-21 23:24:03.001462,well injection D,,32924.46875,32864.359375,
183,183,183,2022-11-21 23:24:08.567439,well injection D,21.03125,,,
184,184,184,2022-11-21 23:24:08.818990,well injection C,8.631250381469727,29085.859375,29188.91015625,False
185,185,185,2022-11-21 23:24:08.818990,well injection D,,32911.58984375,32860.05859375,
186,186,186,2022-11-21 23:24:14.531643,well injection D,21.03125,,,
187,187,187,2022-11-21 23:24:14.951235,well injection C,8.631250381469727,29081.560546875,29184.609375,False
188,188,188,2022-11-21 23:24:14.951235,well injection D,,32911.58984375,32860.05859375,
189,189,189,2022-11-21 23:24:20.726281,well injection D,21.03125,,,
190,190,190,2022-11-21 23:24:21.097626,well injection C,8.631250381469727,29090.150390625,29188.91015625,False
191,191,191,2022-11-21 23:24:21.097626,well injection D,,32920.1796875,32868.6484375,
192,192,192,2022-11-21 23:24:26.694737,well injection D,21.03125,,,
193,193,193,2022-11-21 23:24:27.072554,well injection C,8.631250381469727,29081.560546875,29180.3203125,False
194,194,194,2022-11-21 23:24:27.072554,well injection D,,32907.30078125,32855.76953125,
195,195,195,2022-11-21 23:24:32.642769,well injection D,21.03125,,,
196,196,196,2022-11-21 23:24:33.038920,well injection C,8.631250381469727,29090.150390625,29197.5,False
197,197,197,2022-11-21 23:24:33.038920,well injection D,,32903.0,32851.48046875,
198,198,198,2022-11-21 23:24:38.641076,well injection D,21.03125,,,
199,199,199,2022-11-21 23:24:39.027399,well injection C,8.631250381469727,29098.740234375,29197.5,False
200,200,200,2022-11-21 23:24:39.027399,well injection D,,32907.30078125,32851.48046875,
201,201,201,2022-11-21 23:24:44.823776,well injection D,21.03125,,,
202,202,202,2022-11-21 23:24:45.161080,well injection C,8.631250381469727,29085.859375,29184.609375,False
203,203,203,2022-11-21 23:24:45.161080,well injection D,,32903.0,32851.48046875,
204,204,204,2022-11-21 23:24:50.936282,well injection D,21.03125,,,
205,205,205,2022-11-21 23:24:51.297076,well injection C,8.631250381469727,29077.26953125,29180.3203125,False
206,206,206,2022-11-21 23:24:51.297076,well injection D,,32903.0,32847.1796875,
