time,P77_ZIT_1244001C,P77_ZIT_1244001D,P77_ZIT_1244002C,P77_ZIT_1244002D
15-nov-22 04:21:00,0,0,8.149999619,20.33749962
15-nov-22 04:22:00,0,0,8.149999619,20.34058571
15-nov-22 04:23:00,0,0,8.149999619,20.33749962
15-nov-22 04:24:00,0,0,8.149999619,20.33749962
15-nov-22 04:25:00,0,0,8.149999619,20.33749962
15-nov-22 04:26:00,0,0,8.149999619,20.33124924
15-nov-22 04:27:00,0,0,8.149999619,20.33749962
15-nov-22 04:28:00,0,0,8.149999619,20.33124924
15-nov-22 04:29:00,0,0,8.149999619,20.33435059
15-nov-22 04:30:00,0,0,8.149999619,20.33124924
15-nov-22 04:31:00,0,0,8.149999619,20.3344059
15-nov-22 04:32:00,0,0,8.149999619,20.33749962
15-nov-22 04:33:00,0,0,8.149999619,20.33124924
15-nov-22 04:34:00,0,0,8.149999619,20.33749962
15-nov-22 04:35:00,0,0,8.149999619,20.33124924
15-nov-22 04:36:00,0,0,8.149999619,20.33124924
15-nov-22 04:37:00,0,0,8.143750191,20.33749962
15-nov-22 04:38:00,0,0,8.143750191,20.33124924
15-nov-22 04:39:00,0,0,8.143750191,20.33749962
15-nov-22 04:40:00,0,0,8.146910667,20.33124924
15-nov-22 04:41:00,0,0,8.143750191,20.33434105
15-nov-22 04:42:00,0,0,8.143750191,20.34065628
15-nov-22 04:43:00,0,0,8.143750191,20.33124924
15-nov-22 04:44:00,0,0,8.143750191,20.33749962
15-nov-22 04:45:00,0,0,8.143750191,20.33749962
15-nov-22 04:46:00,0,0,8.143750191,20.34064674
15-nov-22 04:47:00,0,0,8.143750191,20.34064674
15-nov-22 04:48:00,0,0,8.143750191,20.34375
15-nov-22 04:49:00,0,0,8.146852493,20.33439636
15-nov-22 04:50:00,0,0,8.143750191,20.33749962
15-nov-22 04:51:00,0,0,8.143750191,20.33124924
15-nov-22 04:52:00,0,0,8.143750191,20.33439827
15-nov-22 04:53:00,0,0,8.143750191,20.33435631
15-nov-22 04:54:00,0,0,8.143750191,20.33435822
15-nov-22 04:55:00,0,0,8.143750191,20.34375
15-nov-22 04:56:00,0,0,8.143750191,20.33749962
15-nov-22 04:57:00,0,0,8.143750191,20.33439064
15-nov-22 04:58:00,0,0,8.143750191,20.33124924
15-nov-22 04:59:00,0,0,8.143750191,20.33749962
15-nov-22 05:00:00,0,0,8.143750191,20.33749962
15-nov-22 05:01:00,0,0,8.143750191,20.33436203
15-nov-22 05:02:00,0,0,8.143750191,20.34375
15-nov-22 05:03:00,0,0,8.143750191,20.33749962
15-nov-22 05:04:00,0,0,8.143750191,20.34375
15-nov-22 05:05:00,0,0,8.143750191,20.33749962
15-nov-22 05:06:00,0,0,8.143750191,20.33749962
15-nov-22 05:07:00,0,0,8.143750191,20.33749962
15-nov-22 05:08:00,0,0,8.143750191,20.33438683
15-nov-22 05:09:00,0,0,8.143750191,20.33749962
15-nov-22 05:10:00,0,0,8.146862984,20.33749962
15-nov-22 05:11:00,0,0,8.143750191,20.33749962
15-nov-22 05:12:00,0,0,8.146861076,20.34375
15-nov-22 05:13:00,0,0,8.143750191,20.33749962
15-nov-22 05:14:00,0,0,8.143750191,20.34056664
15-nov-22 05:15:00,0,0,8.143750191,20.33749962
15-nov-22 05:16:00,0,0,8.143750191,20.34068298
15-nov-22 05:17:00,0,0,8.146826744,20.34375
15-nov-22 05:18:00,0,0,8.143750191,20.33749962
15-nov-22 05:19:00,0,0,8.143750191,20.34375
15-nov-22 05:20:00,0,0,8.143750191,20.33749962
15-nov-22 05:21:00,0,0,8.143750191,20.33749962
15-nov-22 05:22:00,0,0,8.143750191,20.33749962
15-nov-22 05:23:00,0,0,8.143750191,20.33749962
15-nov-22 05:24:00,0,0,8.143750191,20.34065819
15-nov-22 05:25:00,0,0,8.143750191,20.33749962
15-nov-22 05:26:00,0,0,8.143750191,20.33749962
15-nov-22 05:27:00,0,0,8.146914482,20.34066391
15-nov-22 05:28:00,0,0,8.143750191,20.33441734
15-nov-22 05:29:00,0,0,8.143750191,20.33749962
15-nov-22 05:30:00,0,0,8.143750191,20.34375
15-nov-22 05:31:00,0,0,8.143750191,20.33441544
15-nov-22 05:32:00,0,0,8.143750191,20.33749962
15-nov-22 05:33:00,0,0,8.143750191,20.34067154
15-nov-22 05:34:00,0,0,8.143750191,20.33124924
15-nov-22 05:35:00,0,0,8.143750191,20.34375
15-nov-22 05:36:00,0,0,8.143750191,20.33749962
15-nov-22 05:37:00,0,0,8.146911621,20.33749962
